Time,Dis_Dmp_LF,Dis_Dmp_LR,Dis_Dmp_RF,Dis_Dmp_RR,WFT_Fx_LF,WFT_Fx_LR,WFT_Fx_RF,WFT_Fx_RR,WFT_Fy_LF,WFT_Fy_LR,WFT_Fy_RF,WFT_Fy_RR,WFT_Fz_LF,WFT_Fz_LR,WFT_Fz_RF,WFT_Fz_RR,WFT_Mx_LF,WFT_Mx_LR,WFT_Mx_RF,WFT_Mx_RR,WFT_My_LF,WFT_My_LR,WFT_My_RF,WFT_My_RR,WFT_Mz_LF,WFT_Mz_LR,WFT_Mz_RF,WFT_Mz_RR
0.0840,-90928.1736,-60473.0617,-41175.1782,-26244.1781,2886063.5625,2196288.2148,3717659.6690,1645369.4759,3977945.8694,2241735.7989,2055798.7850,2296966.7580,6130237.9029,3287575.6376,1732045.6385,1039283.4639,1850618.2284,1052198.9010,405318.5153,727820.9218,-183258.4629,-1424.6735,-195197.0538,1502.7624,-139440.8023,-160517.2669,439631.4144,179178.7643
0.0859,-93685.8154,-62579.5945,-42510.2492,-27061.4721,2973553.5649,2260656.7226,3835285.5419,1701885.2942,4093513.5332,2315681.9956,2125104.1436,2368524.4330,6307138.7656,3392058.2251,1783191.4055,1067872.8716,1903424.9817,1085616.4893,419064.3423,749835.6801,-190021.2634,-1524.7446,-201929.7644,1532.6061,-142972.9190,-164423.5347,454145.8395,186106.9816
0.0879,-96443.4571,-64686.1273,-43845.3202,-27878.7660,3061043.5672,2325025.2303,3952911.4149,1758401.1124,4209081.1971,2389628.1924,2194409.5023,2440082.1081,6484039.6282,3496540.8126,1834337.1724,1096462.2793,1956231.7351,1119034.0777,432810.1694,771850.4384,-196784.0639,-1624.8158,-208662.4750,1562.4498,-146505.0358,-168329.8024,468660.2646,193035.1989
0.0898,-99201.0988,-66792.6602,-45180.3912,-28696.0600,3148533.5696,2389393.7381,4070537.2878,1814916.9307,4324648.8609,2463574.3891,2263714.8609,2511639.7832,6660940.4909,3601023.4001,1885482.9394,1125051.6869,2009038.4885,1152451.6660,446555.9964,793865.1966,-203546.8644,-1724.8870,-215395.1856,1592.2935,-150037.1526,-172236.0702,483174.6897,199963.4163
0.0918,-101958.7406,-68899.1930,-46515.4622,-29513.3540,3236023.5719,2453762.2458,4188163.1607,1871432.7489,4440216.5247,2537520.5858,2333020.2196,2583197.4582,6837841.3535,3705505.9876,1936628.7063,1153641.0946,2061845.2419,1185869.2543,460301.8234,815879.9549,-210309.6649,-1824.9582,-222127.8962,1622.1372,-153569.2693,-176142.3379,497689.1147,206891.6336
0.0938,-104716.3823,-71005.7258,-47850.5332,-30330.6479,3323513.5743,2518130.7536,4305789.0336,1927948.5671,4555784.1886,2611466.7826,2402325.5783,2654755.1333,7014742.2162,3809988.5751,1987774.4733,1182230.5023,2114651.9952,1219286.8427,474047.6505,837894.7132,-217072.4655,-1925.0294,-228860.6068,1651.9809,-157101.3861,-180048.6057,512203.5398,213819.8510
0.0957,-107474.0240,-73112.2587,-49185.6042,-31147.9419,3411003.5767,2582499.2613,4423414.9065,1984464.3854,4671351.8524,2685412.9793,2471630.9369,2726312.8084,7191643.0788,3914471.1626,2038920.2402,1210819.9100,2167458.7486,1252704.4310,487793.4775,859909.4715,-223835.2660,-2025.1006,-235593.3174,1681.8246,-160633.5029,-183954.8735,526717.9649,220748.0683
0.0977,-110231.6658,-75218.7915,-50520.6752,-31965.2359,3498493.5790,2646867.7691,4541040.7794,2040980.2036,4786919.5162,2759359.1761,2540936.2956,2797870.4834,7368543.9415,4018953.7501,2090066.0071,1239409.3177,2220265.5020,1286122.0194,501539.3045,881924.2297,-230598.0665,-2125.1718,-242326.0280,1711.6683,-164165.6196,-187861.1412,541232.3900,227676.2856
0.0996,-112989.3075,-77325.3243,-51855.7462,-32782.5298,3585983.5814,2711236.2768,4658666.6524,2097496.0219,4902487.1801,2833305.3728,2610241.6542,2869428.1585,7545444.8041,4123436.3376,2141211.7741,1267998.7254,2273072.2553,1319539.6077,515285.1315,903938.9880,-237360.8670,-2225.2429,-249058.7386,1741.5120,-167697.7364,-191767.4090,555746.8151,234604.5030
0.1016,-115746.9492,-79431.8571,-53190.8172,-33599.8238,3673473.5838,2775604.7846,4776292.5253,2154011.8401,5018054.8439,2907251.5696,2679547.0129,2940985.8335,7722345.6668,4227918.9251,2192357.5410,1296588.1330,2325879.0087,1352957.1960,529030.9586,925953.7463,-244123.6675,-2325.3141,-255791.4492,1771.3557,-171229.8532,-195673.6768,570261.2401,241532.7203
